"","last name","first name","two letter state abbreviation","Number of commemorative bills receiving action beyond committee","Number of commemorative bills receiving action in committee","Number of commemorative bills sponsored by this senator","Number of commemorative bills becoming law","Number of commemorative bills passing Senate","Number of substantive bills receiving action beyond committee","Number of substantive bills receiving action in committee","Number of substantive bills sponsored by this senator","Number of substantive bills becoming law","Number of substantive bills passing Senate","Number of SS bills receiving action beyond committee","Number of SS bills receiving action in committee","Number of substantive and significant (SS) bills sponsored by this senator","Number of SS bills becoming law","Number of SS bills passing Senate","congress","Observation number order based on scraping congress.gov","ID","yearcongStart","dem","majority","yearStart","female","Black","latinx","percent_vote","1st-dimension DW-NOMINATE score","chair","subchair","currterms","stateLeg","state_leg X squire index","majLeader","minLeader","votepct squared","totalSponsored","Total number of bills receiving action in committee","Total number of bills receiving action beyond committee","totalSenate","totalLaw","legeffictive","lagged legislative effectiveness score","distrance from legislative median in DW-NOMINATE","powrcmte","freshman","seniority squared","distance from majority party median dwnom1","number of members in state congressional delegation","Benchmark score based on majority, seniority, chairs","1 = Below, 2 = Meets, 3 = Exceeds"
"58","Long","Russell","LA",0,0,0,0,0,2,0,16,1,2,0,0,2,0,0,93,59,5767,1972,1,1,1948,0,0,0,87,-0.126000002026558,1,1,13,0,0,0,0,7569,18,0,2,2,1,0.326704561710358,NA,2.02656003089885e-09,1,0,169,0.187508791685104,8,2.47992610931396,1
"59","Magnuson","Warren","WA",0,0,8,0,0,14,0,104,10,12,19,0,21,7,15,93,60,5913,1972,1,1,1944,0,0,0,65,-0.310999989509583,1,1,15,1,0.211999997496605,0,0,4225,133,0,33,27,17,5.69339847564697,NA,0.184999987483025,1,0,225,0.00250881048850715,7,2.56727576255798,3
"60","Mansfield","Mike","MT",5,0,20,1,5,2,0,15,1,2,3,0,3,0,2,93,61,5967,1972,1,1,1952,0,0,0,61,-0.533999979496002,0,1,11,0,0,1,0,3721,38,0,10,9,2,0.763813018798828,NA,0.407999992370605,1,0,121,0.22049118578434,2,1.2923436164856,2
"61","Mathias","Charles","MD",1,0,30,0,1,4,0,33,1,4,0,0,0,0,0,93,62,10535,1972,0,0,1968,0,0,0,48,-0.0829999968409538,0,0,3,1,0.252000004053116,0,0,2304,63,0,5,5,1,0.589866459369659,NA,0.0430000014603138,1,0,9,0.230508804321289,8,0.417461276054382,2
"62","McClellan","John","AR",0,0,3,0,0,3,0,20,1,2,8,0,10,2,7,93,63,6151,1972,1,1,1942,0,0,0,61,0.0270000007003546,1,1,16,0,0,0,0,3721,33,0,11,9,3,1.75514543056488,NA,0.152999997138977,1,0,256,0.340508788824081,4,2.6109504699707,2
"63","McClure","James","ID",0,0,7,0,0,3,0,29,3,3,0,0,0,0,0,93,64,11029,1972,0,0,1972,0,0,0,52,0.476000010967255,0,0,1,1,0.179000005125999,0,0,2704,36,0,3,3,3,0.598443627357483,NA,0.601999998092651,0,1,1,0.789508819580078,2,0.330111652612686,3
"64","McGee","Gale","WY",0,0,7,0,0,0,0,19,0,0,5,0,5,1,4,93,65,6249,1972,1,1,1958,0,0,0,56,-0.138999998569489,1,1,8,0,0,0,0,3136,31,0,5,4,1,0.919916331768036,NA,0.0129999984055758,1,0,64,0.174508795142174,1,2.26155209541321,1
"65","McGovern","George","SD",0,0,1,0,0,2,0,49,2,2,3,0,3,2,2,93,66,6256,1972,1,1,1962,0,0,0,57,-0.550999999046326,0,1,6,0,0,0,0,3249,53,0,5,4,4,1.22316181659698,NA,0.425000011920929,1,0,36,0.237491205334663,2,1.07396960258484,2
"66","McIntyre","Thomas","NH",1,0,4,0,1,0,0,19,0,0,1,0,2,1,1,93,67,10810,1972,1,1,1962,0,0,0,57,-0.312000006437302,0,1,6,0,0,0,0,3249,25,0,2,2,1,0.434049189090729,NA,0.186000004410744,1,0,36,0.00150879356078804,2,1.07396960258484,1
"67","Metcalf","Lee","MT",0,0,4,0,0,1,0,36,0,0,4,0,4,1,3,93,68,6442,1972,1,1,1960,0,0,0,52,-0.493000000715256,0,1,7,1,0.114000000059605,0,0,2704,44,0,5,3,1,0.906886219978333,NA,0.367000013589859,0,0,49,0.179491207003593,2,1.11764442920685,2
